"ID","日期","縣市別","總人口數","前次累計接種人數更新","新增接種人數","累計接種人數","累計接種率 (%)","累計配送劑數","剩餘庫存量 (%)"
"154","2021-06-07","臺北市","2,581,006","130,077","4,740","134,817","5.22%","141,000","4.39%"
"155","2021-06-07","新北市","4,027,730","115,840","660","116,500","2.89%","106,300","0.00%"
"157","2021-06-07","臺中市","2,820,979","92,635","171","92,806","3.29%","89,400","0.00%"
"159","2021-06-07","高雄市","2,760,028","86,073","473","86,546","3.14%","83,400","0.00%"
"156","2021-06-07","桃園市","2,270,971","67,254","3,891","71,145","3.13%","81,100","12.27%"
"158","2021-06-07","臺南市","1,871,224","43,340","535","43,875","2.34%","43,000","0.00%"
"161","2021-06-07","彰化縣","1,262,673","28,167","590","28,757","2.28%","32,500","11.52%"
"163","2021-06-07","屏東縣","809,765","18,376","119","18,495","2.28%","17,400","0.00%"
"162","2021-06-07","雲林縣","674,622","13,967","0","13,967","2.07%","12,700","0.00%"
"166","2021-06-07","新竹市","452,229","13,313","567","13,880","3.07%","13,000","0.00%"
"160","2021-06-07","新竹縣","572,422","13,803","0","13,803","2.41%","13,600","0.00%"
"168","2021-06-07","嘉義市","265,416","12,403","359","12,762","4.81%","12,600","0.00%"
"170","2021-06-07","花蓮縣","323,441","11,954","799","12,753","3.94%","13,200","3.39%"
"165","2021-06-07","宜蘭縣","452,355","12,012","128","12,140","2.68%","11,600","0.00%"
"172","2021-06-07","南投縣","489,148","10,609","123","10,732","2.19%","9,900","0.00%"
"169","2021-06-07","嘉義縣","497,641","10,476","181","10,657","2.14%","10,400","0.00%"
"164","2021-06-07","基隆市","367,088","9,641","0","9,641","2.63%","11,600","16.89%"
"167","2021-06-07","苗栗縣","541,226","9,327","103","9,430","1.74%","9,400","0.00%"
"171","2021-06-07","臺東縣","214,599","5,532","0","5,532","2.58%","5,100","0.00%"
"173","2021-06-07","澎湖縣","105,905","2,762","219","2,981","2.81%","3,400","12.32%"
"174","2021-06-07","金門縣","140,325","2,112","55","2,167","1.54%","2,300","5.78%"
"175","2021-06-07","連江縣","13,403","1,334","99","1,433","10.69%","2,000","28.35%"
"220","2021-06-06","臺北市","2,581,006","117,345","10,842","128,187","4.97%","141,000","9.09%"
"221","2021-06-06","新北市","4,027,730","113,916","1,291","115,207","2.86%","106,300","0.00%"
"225","2021-06-06","高雄市","2,760,028","85,760","10","85,770","3.11%","83,400","0.00%"
"223","2021-06-06","臺中市","2,820,979","84,593","1,027","85,620","3.04%","89,400","4.23%"
"222","2021-06-06","桃園市","2,270,971","66,855","399","67,254","2.96%","81,100","17.07%"
"224","2021-06-06","臺南市","1,871,224","40,617","2,144","42,761","2.29%","43,000","0.56%"
"227","2021-06-06","彰化縣","1,262,673","28,060","93","28,153","2.23%","32,500","13.38%"
"229","2021-06-06","屏東縣","809,765","18,360","0","18,360","2.27%","17,400","0.00%"
"228","2021-06-06","雲林縣","674,622","13,623","344","13,967","2.07%","12,700","0.00%"
"226","2021-06-06","新竹縣","572,422","13,791","0","13,791","2.41%","13,600","0.00%"
"232","2021-06-06","新竹市","452,229","13,313","0","13,313","2.94%","13,000","0.00%"
"231","2021-06-06","宜蘭縣","452,355","11,900","95","11,995","2.65%","11,600","0.00%"
"234","2021-06-06","嘉義市","265,416","11,396","431","11,827","4.46%","12,600","6.13%"
"236","2021-06-06","花蓮縣","323,441","11,451","209","11,660","3.60%","13,200","11.67%"
"238","2021-06-06","南投縣","489,148","10,597","12","10,609","2.17%","9,900","0.00%"
"235","2021-06-06","嘉義縣","497,641","10,244","23","10,267","2.06%","10,400","1.28%"
"230","2021-06-06","基隆市","367,088","9,298","138","9,436","2.57%","11,600","18.66%"
"233","2021-06-06","苗栗縣","541,226","9,316","11","9,327","1.72%","9,400","0.78%"
"237","2021-06-06","臺東縣","214,599","5,404","73","5,477","2.55%","5,100","0.00%"
"239","2021-06-06","澎湖縣","105,905","2,761","0","2,761","2.61%","3,400","18.79%"
"240","2021-06-06","金門縣","140,325","2,111","0","2,111","1.50%","2,300","8.22%"
"241","2021-06-06","連江縣","13,403","1,271","63","1,334","9.95%","2,000","33.30%"
"611","2021-06-04","臺北市","2,581,006","104,663","11,254","115,917","4.49%","141,000","17.79%"
"612","2021-06-04","新北市","4,027,730","104,192","9,524","113,716","2.82%","106,300","0.00%"
"616","2021-06-04","高雄市","2,760,028","74,952","9,850","84,802","3.07%","83,400","0.00%"
"614","2021-06-04","臺中市","2,820,979","82,618","1,960","84,578","3.00%","89,400","5.39%"
"613","2021-06-04","桃園市","2,270,971","62,643","4,212","66,855","2.94%","81,100","17.56%"
"615","2021-06-04","臺南市","1,871,224","35,900","4,131","40,031","2.14%","43,000","6.90%"
"618","2021-06-04","彰化縣","1,262,673","26,478","1,502","27,980","2.22%","32,500","13.91%"
"620","2021-06-04","屏東縣","809,765","16,638","1,690","18,328","2.26%","17,400","0.00%"
"617","2021-06-04","新竹縣","572,422","13,175","616","13,791","2.41%","13,600","0.00%"
"619","2021-06-04","雲林縣","674,622","11,461","2,162","13,623","2.02%","12,700","0.00%"
"623","2021-06-04","新竹市","452,229","13,265","48","13,313","2.94%","13,000","0.00%"
"622","2021-06-04","宜蘭縣","452,355","11,175","725","11,900","2.63%","11,600","0.00%"
"627","2021-06-04","花蓮縣","323,441","10,495","956","11,451","3.54%","13,200","13.25%"
"625","2021-06-04","嘉義市","265,416","9,544","1,852","11,396","4.29%","12,600","9.56%"
"629","2021-06-04","南投縣","489,148","9,858","739","10,597","2.17%","9,900","0.00%"
"626","2021-06-04","嘉義縣","497,641","9,426","784","10,210","2.05%","10,400","1.83%"
"624","2021-06-04","苗栗縣","541,226","8,592","724","9,316","1.72%","9,400","0.89%"
"621","2021-06-04","基隆市","367,088","9,140","48","9,188","2.50%","11,600","20.79%"
"628","2021-06-04","臺東縣","214,599","4,574","709","5,283","2.46%","5,100","0.00%"
"630","2021-06-04","澎湖縣","105,905","2,515","246","2,761","2.61%","3,400","18.79%"
"631","2021-06-04","金門縣","140,325","1,710","401","2,111","1.50%","2,300","8.22%"
"632","2021-06-04","連江縣","13,403","1,118","153","1,271","9.48%","2,000","36.45%"
"287","2021-06-03","新北市","4,027,730","92,380","11,627","104,007","2.58%","106,300","2.16%"
"286","2021-06-03","臺北市","2,581,006","94,204","9,634","103,838","4.02%","140,900","26.30%"
"289","2021-06-03","臺中市","2,820,979","77,684","4,771","82,455","2.92%","84,300","2.19%"
"291","2021-06-03","高雄市","2,760,028","65,993","8,709","74,702","2.71%","83,400","10.43%"
"288","2021-06-03","桃園市","2,270,971","58,287","4,353","62,640","2.76%","70,600","11.27%"
"290","2021-06-03","臺南市","1,871,224","32,265","3,259","35,524","1.90%","43,000","17.39%"
"293","2021-06-03","彰化縣","1,262,673","24,777","1,413","26,190","2.07%","30,800","14.97%"
"295","2021-06-03","屏東縣","809,765","14,566","1,917","16,483","2.04%","17,400","5.27%"
"298","2021-06-03","新竹市","452,229","12,592","666","13,258","2.93%","12,400","0.00%"
"292","2021-06-03","新竹縣","572,422","11,807","1,361","13,168","2.30%","13,100","0.00%"
"294","2021-06-03","雲林縣","674,622","10,224","1,237","11,461","1.70%","12,700","9.76%"
"297","2021-06-03","宜蘭縣","452,355","10,242","831","11,073","2.45%","11,600","4.54%"
"302","2021-06-03","花蓮縣","323,441","10,324","95","10,419","3.22%","13,200","21.07%"
"304","2021-06-03","南投縣","489,148","8,979","879","9,858","2.02%","9,900","0.42%"
"300","2021-06-03","嘉義市","265,416","8,395","1,149","9,544","3.60%","12,600","24.25%"
"301","2021-06-03","嘉義縣","497,641","8,850","519","9,369","1.88%","10,400","9.91%"
"296","2021-06-03","基隆市","367,088","8,822","121","8,943","2.44%","9,500","5.86%"
"299","2021-06-03","苗栗縣","541,226","7,766","821","8,587","1.59%","8,800","2.42%"
"303","2021-06-03","臺東縣","214,599","3,795","666","4,461","2.08%","5,100","12.53%"
"305","2021-06-03","澎湖縣","105,905","2,287","228","2,515","2.37%","3,400","26.03%"
"306","2021-06-03","金門縣","140,325","1,403","307","1,710","1.22%","2,300","25.65%"
"307","2021-06-03","連江縣","13,403","944","173","1,117","8.33%","1,400","20.21%"
"352","2021-06-02","臺北市","2,581,006","84,995","8,700","93,695","3.63%","139,700","32.93%"
"353","2021-06-02","新北市","4,027,730","80,255","10,582","90,837","2.26%","106,300","14.55%"
"355","2021-06-02","臺中市","2,820,979","66,962","10,579","77,541","2.75%","83,600","7.25%"
"357","2021-06-02","高雄市","2,760,028","58,439","7,310","65,749","2.38%","81,800","19.62%"
"354","2021-06-02","桃園市","2,270,971","54,688","2,749","57,437","2.53%","70,200","18.18%"
"356","2021-06-02","臺南市","1,871,224","29,207","2,703","31,910","1.71%","43,000","25.79%"
"359","2021-06-02","彰化縣","1,262,673","23,786","959","24,745","1.96%","30,800","19.66%"
"361","2021-06-02","屏東縣","809,765","12,505","1,710","14,215","1.76%","16,900","15.89%"
"364","2021-06-02","新竹市","452,229","10,894","1,694","12,588","2.78%","12,300","0.00%"
"358","2021-06-02","新竹縣","572,422","10,505","1,291","11,796","2.06%","13,100","9.95%"
"368","2021-06-02","花蓮縣","323,441","9,519","756","10,275","3.18%","13,000","20.96%"
"363","2021-06-02","宜蘭縣","452,355","9,789","452","10,241","2.26%","11,600","11.72%"
